	Metabolite ID	Feature Importance	Metabolite name
0	957	0.010821256038647342	Unknown
1	2081	0.015821371610845292	?-Valerolactam
2	2532	0.011979166666666662	Unknown
3	3938	0.010736934441366572	151 - Norvaline
4	4363	0.01333333333333333	Unknown
5	4635	0.01333333333333333	Unknown
6	6202	0.01065699826717076	Unknown (carbon number 7);PlaSMA ID-130
7	6496	0.01203007518796992	Unknown
8	6501	0.01333333333333333	Unknown
9	6721	0.01333333333333333	Unknown
10	8188	0.012020202020202016	Unknown
11	9144	0.012020202020202016	Unknown
12	10621	0.01333333333333333	w/o MS2:Daphnetin
13	11887	0.010857142857142855	w/o MS2:N6-Acetyl-L-lysine
14	11909	0.010723943898547071	208 - N6,N6,N6-Trimethyl-L-lysine
15	13190	0.01333333333333333	w/o MS2:Ala-Leu
16	13453	0.01203007518796992	Unknown
17	13457	0.01333333333333333	Unknown
18	14039	0.010344827586206893	Unknown
19	14514	0.012003410059676041	Unknown
20	15746	0.012020202020202016	w/o MS2:Citric acid
21	16269	0.01463659147869674	Unknown
22	18072	0.01333333333333333	Unknown
23	18571	0.01333333333333333	w/o MS2:NCGC00386092-01_C11H18N2O4_
24	19535	0.01333659147869674	Unknown
25	19619	0.02666666666666666	Unknown
26	19808	0.010784313725490194	Unknown
27	19995	0.01333333333333333	w/o MS2:2,3,4'-Trihydroxy-4-Methoxybenzophenone
28	20705	0.01333333333333333	Unknown
29	20707	0.012020202020202016	Unknown
30	21680	0.02022784740734347	w/o MS2:scopolamine
31	21748	0.01333333333333333	Unknown
32	21868	0.010736934441366572	Unknown
33	21977	0.01333333333333333	w/o MS2:Sodium Houttuyfonate
34	22042	0.010666666666666665	w/o MS2:Toddalolactone
35	22920	0.01203007518796992	Unknown
36	23070	0.01333333333333333	Unknown
37	23259	0.01084529505582137	Unknown
38	23262	0.02666666666666666	Unknown
39	24815	0.010666666666666666	w/o MS2:MLS000860003-01!S()-Raclopride (+)-tartrate salt
40	24993	0.01333333333333333	Unknown
41	27366	0.01333333333333333	w/o MS2:2-[5-[2-[2-[5-(2-hydroxypropyl)oxolan-2-yl]propanoyloxy]propyl]oxolan-2-yl]propanoic acid
42	27772	0.013256820357772736	Unknown
43	28119	0.01333333333333333	Unknown
44	29069	0.01084529505582137	w/o MS2:(3S,3'R,3'aS,6'S,6aS,6bS,7'aR,9R,11bR)-3-hydroxy-3',6',10,11b-tetramethylspiro[1,2,3,4,6,6a,6b,7,8,11a-decahydrobenzo[a]fluorene-9,2'-3a,4,5,6,7,7a-hexahydro-3H-furo[3,2-b]pyridine]-11-one
45	29366	0.01333333333333333	Unknown
46	30355	0.01333333333333333	Unknown
47	30785	0.01333333333333333	Unknown
48	30854	0.01333333333333333	Unknown
49	31278	0.01084529505582137	Unknown
50	31803	0.012020202020202016	Unknown
51	31857	0.01084529505582137	Unknown
52	32097	0.010857142857142855	w/o MS2:plumieride
53	32410	0.01333333333333333	w/o MS2:(2R,2'S,4'aS,5'R,5''S,6'R,8'aS)-2'-(acetyloxy)-5''-(furan-3-yl)-6'-methyl-2'',8'-dioxo-octahydrodispiro[oxirane-2,1'-naphthalene-5',3''-oxolane]-8'a-ylmethyl acetate
54	34462	0.010784313725490194	Unknown
55	34653	0.02533674339300937	Unknown
56	35311	0.012033333333333332	Unknown
57	36691	0.011703239289446183	Unknown
58	38437	0.02216450216450216	Unknown
59	38448	0.011979166666666662	w/o MS2:(3R,4R,5R,6R)-2-(((2R,3S,4S,5R)-4,5-dihydroxy-2-(((2'R,4R,5'S,6R,6aR,8aS,9S)-4-hydroxy-5',6a,8a,9-tetramethyl-1,3,3',4,4',5,5',6,6a,6b,6',7,8,8a,8b,9,11a,12,12a,12b-icosahydrospiro[naphtho[2',1':4,5]indeno[2,1-b]furan-10,2'-pyran]-6-yl)oxy)tetrahydro-2H-pyran-3-yl)oxy)-6-methyltetrahydro-2H-pyran-3,4,5-triol
