	Metabolite ID	Feature Importance	Metabolite name
0	1084	0.011493873152709359	Unknown
1	2412	0.013652773646638906	w/o MS2:Taurine
2	3620	0.010723398001175782	D-(-)-Glutamine
3	5345	0.010214675767918086	L-Tyrosine;LC-ESI-ITFT;MS2;m/z
4	7174	0.015142045454545455	Unknown
5	7536	0.010445682318972723	Unknown
6	9394	0.011164845384794233	Unknown
7	10087	0.011296122576610383	w/o MS2:Unknown (carbon number 9);PlaSMA ID-430
8	10088	0.0173382752894948	w/o MS2:Unknown (carbon number 9);PlaSMA ID-430
9	10877	0.01003215303215303	Unknown
10	10933	0.02080609043810341	Unknown
11	10935	0.011315632754342431	Unknown
12	11145	0.011815384615384615	Unknown
13	11773	0.014285714285714285	Unknown
14	12119	0.012799999999999999	w/o MS2:Unknown (carbon number 18);PlaSMA ID-652
15	12685	0.010578512396694216	Unknown
16	13018	0.01219941348973607	Unknown
17	13296	0.04369116397668828	Unknown
18	13745	0.019943284707907717	w/o MS2:5-hydroxy-3,6,7-trimethoxy-2-(4-methoxyphenyl)-4H-chromen-4-one
19	14477	0.013535733844468783	Unknown
20	14678	0.01455144875019539	Unknown
21	15107	0.011792394528675016	w/o MS2:NCGC00380260-01!2-(2-acetyloxy-12-hydroxytridecyl)-4,6-dihydroxybenzoic acid
22	15795	0.010384615384615383	w/o MS2:Unknown (carbon number 12);PlaSMA ID-1174
23	15845	0.013391304347826089	w/o MS2:(Z)-2,6-dimethyl-7-(4-methyl-5-oxooxolan-2-yl)-3-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]hept-5-enoic acid
24	16192	0.012408169533169535	w/o MS2:1-[(2E,4E)-6,7-Dihydroxy-2,4-octadienoyl]prolyl-N-methylvalyl-N2-methylalaninamide
25	16337	0.01983668203495608	Unknown
26	16577	0.010043762432509236	Unknown
27	17188	0.011296122576610383	Unknown
28	17244	0.02030952380952381	Unknown
29	17484	0.010141779788838614	LPC 18:2;PlaSMA ID-1556
30	18198	0.0177272957608926	w/o MS2:NCGC00380909-01_C34H54O8_(1alpha,3alpha,7alpha,9xi,13alpha,17xi,20xi)-3,21,23-Trihydroxy-4,4,8-trimethyl-24,25-epoxycholest-14-ene-1,7-diyl diacetate
31	18252	0.014312490869247628	Unknown
32	19120	0.010909561766777513	Unknown
