	Metabolite ID	Feature Importance	Metabolite name
0	1	0.014365842166962612	Unknown
1	13	0.01026369168356998	Unknown
2	2318	0.04284450527250527	Unknown
3	2326	0.017336832621113556	Unknown
4	2822	0.03390960683760683	Unknown
5	8946	0.013263157894736843	Glutamine;LC-ESI-ITFT;MS2;CE 15.0 eV;[M-H]-
6	8995	0.010181818181818183	Unknown
7	9390	0.010267228172733624	Unknown
8	9542	0.024259609325771897	w/o MS2:Unknown (carbon number 7);PlaSMA ID-110
9	12857	0.012008267694542203	Unknown
10	14861	0.014371327299573211	Unknown
11	14884	0.026912978624309657	Unknown
12	16421	0.011117270263611726	w/o MS2:Unknown (carbon number 13);PlaSMA ID-307
13	16635	0.012783964924843438	Unknown
14	16872	0.011980463980463983	Unknown
15	17624	0.010730158730158727	Unknown
16	19954	0.01882350014195856	Unknown
17	23244	0.019302214995668577	Unknown
18	23328	0.010888888888888887	Unknown
19	25950	0.01605034722222222	Unknown
20	27114	0.017586980920314254	Unknown
21	30020	0.011164845384794233	Unknown
22	30422	0.018663324979114455	Unknown
23	31178	0.010681318681318684	Unknown
24	32359	0.03489218926828295	Unknown
25	32475	0.01100257128268769	Unknown
26	33986	0.010824503640914777	Unknown
27	33995	0.011596638655462184	Unknown
28	34286	0.010208333333333333	Unknown
29	34503	0.014831964924843438	w/o MS2:Phosphatidylethanolamine 16
